Symbol	Description
M6LH	6-Month Lows Price GT $10
M6LL	6-Month Lows Price Lt $10
M6LN	6-Month Lows NYSE
M6LP	6-Month Lows Sp500
M6LQ	6-Month Lows Nasdaq
M6LU	6-Month Lows Volume Lt 100K
M6LV	6-Month Lows Volume GT 100K
M6LX	6-Month Lows Overall
MAHA	12-Month Highs AMEX
MAHD	12-Month Highs Otcbb
MAHE	12-Month Highs ETFS
MAHH	12-Month Highs Price GT $10
MAHL	12-Month Highs Price Lt $10
MAHN	12-Month Highs NYSE
MAHP	12-Month Highs Sp500
MAHQ	12-Month Highs Nasdaq
MAHU	12-Month Highs Volume Lt 100K
MAHV	12-Month Highs Volume GT 100K
MAHX	12-Month Highs Overall
MALA	12-Month Lows AMEX
MALD	12-Month Lows Otcbb
MALE	12-Month Lows ETFS
MALH	12-Month Lows Price GT $10
MALL	12-Month Lows Price Lt $10
MALN	12-Month Lows NYSE
MALP	12-Month Lows Sp500
MALQ	12-Month Lows Nasdaq
MALU	12-Month Lows Volume Lt 100K
MALV	12-Month Lows Volume GT 100K
MALX	12-Month Lows Overall
MBO	CHINESE MPS BSKT
MDO	Mid Opn/Cls Avge
MERV	Merval - Argentina
MEV	AMEX Mexico Index Settlement
MFX	KBW Mortgage Finance Index
MGD	Midcp 400Barra
MIA	Mid O/C/H/L Avg
MID	Midcap 400 Idx
MIH	Mid Hi/Lo Avge
MIV	Mid-Cap Settle
MIXR	S&P C.S. Fl-Miami Home Price Index
MLO	AMEX Merrill Lynch Tech 100
MMFI	Percent of Stocks Above 50-Day Average
MMOF	Percent of Stocks Above 150-Day Average
MMOH	Percent of Stocks Above 100-Day Average
MMTH	Percent of Stocks Above 200-Day Average
MMTW	Percent of Stocks Above 20-Day Average
MNFI	Percent Above 50-Day Average Yesterday
MNG	AMEX MINI-NATURAL GAS INDEX
MNOF	Percent Above 150-Day Average Yesterday
MNOH	Percent Above 100-Day Average Yesterday
MNTH	Percent Above 200-Day Average Yesterday
MNTW	Percent Above 20-Day Average Yesterday
MNXR	S&P C.S. Mn-Minneapolis Home Price Index
MOFI	Percent Above 50-Day Average Last Week
MOOF	Percent Above 150-Day Average Last Week
MOOH	Percent Above 100-Day Average Last Week
MOTH	Percent Above 200-Day Average Last Week
MOTW	Percent Above 20-Day Average Last Week
MPFI	Percent Above 50-Day Average Last Month
MPOF	Percent Above 150-Day Average Last Month
MPOH	Percent Above 100-Day Average Last Month
MPTH	Percent Above 200-Day Average Last Month
MPTW	Percent Above 20-Day Average Last Month
MSH	AMEX Morgan Stanley Hi Tech 35
MTFI	TSX Percent of Stocks Above 50-Day Average
MTOF	TSX Percent of Stocks Above 150-Day Average
MTOH	TSX Percent of Stocks Above 100-Day Average
MTTH	TSX Percent of Stocks Above 200-Day Average
MTTW	TSX Percent of Stocks Above 20-Day Average
MUFI	TSX Percent Above 50-Day Average Yesterday
MUOF	TSX Percent Above 150-Day Average Yesterday
MUOH	TSX Percent Above 100-Day Average Yesterday
MUTH	TSX Percent Above 200-Day Average Yesterday
MUTW	TSX Percent Above 20-Day Average Yesterday
MUV	Mdcp 400Bar Val
MVFI	TSX Percent Above 50-Day Average Last Week
MVH	Morgan Stanley High-Technology
MVOF	TSX Percent Above 150-Day Average Last Week
MVOH	TSX Percent Above 100-Day Average Last Week
MVTH	TSX Percent Above 200-Day Average Last Week
MVTW	TSX Percent Above 20-Day Average Last Week
MWFI	TSX Percent Above 50-Day Average Last Month
MWOF	TSX Percent Above 150-Day Average Last Month
MWOH	TSX Percent Above 100-Day Average Last Month
MWTH	TSX Percent Above 200-Day Average Last Month
MWTW	TSX Percent Above 20-Day Average Last Month
MXX	Mexico IPC
MXY	AMEX Mexico Index
MYHA	YTD Highs AMEX
MYHD	YTD Highs Otcbb
MYHE	YTD Highs ETFS
MYHH	YTD Highs Price GT $10
MYHL	YTD Highs Price Lt $10
MYHN	YTD Highs NYSE
MYHP	YTD Highs Sp500
MYHQ	YTD Highs Nasdaq
MYHU	YTD Highs Volume Lt 100K
MYHV	YTD Highs Volume GT 100K
MYHX	YTD Highs Overall
MYLA	YTD Lows AMEX
MYLD	YTD Lows Otcbb
MYLE	YTD Lows ETFS
MYLH	YTD Lows Price GT $10
MYLL	YTD Lows Price Lt $10
MYLN	YTD Lows NYSE
MYLP	YTD Lows Sp500
MYLQ	YTD Lows Nasdaq
MYLU	YTD Lows Volume Lt 100K
MYLV	YTD Lows Volume GT 100K
MYLX	YTD Lows Overall
NAST	NASDAQ Transportation Index
NBI	Nasdaq Biotechnology
NBZ	Nasdaq Biotech Index Final Set
NDFI	Nasdaq 100 Stocks Above 50-Day Average
NDOF	Nasdaq 100 Stocks Above 150-Day Average
NDOH	Nasdaq 100 Stocks Above 100-Day Average
NDTH	Nasdaq 100 Stocks Above 200-Day Average
NDTW	Nasdaq 100 Stocks Above 20-Day Average
NDX	NASDAQ 100 INDEX
NDXT	NASDAQ 100 TECHNOLOGY
NDXX	NASDAQ-100 Ex-Tech Sector Index
NDY	Nasdaq 100
NEX	Wilderhill New Energy Global In
NFA	Cts Feed Fa
NGV	AMEX Natural Gas Index Final Se
